evid,datetime,lat,long,mag,f_type,strike,dip,rake,length,dip_dist,z_tor,dbottom,hyp_lat,hyp_lon,hyp_strike,hyp_dip,corner_0_lat,corner_0_lon,corner_0_depth,corner_1_lat,corner_1_lon,corner_1_depth,corner_2_lat,corner_2_lon,corner_2_depth,corner_3_lat,corner_3_lon,corner_3_depth
1659324,2000-12-19T05:03:37.524000Z,-41.35156,174.3522,5.099,domain,249.720188,72.133353,173,5.24044736,5.216409208,40.07775918,45.04259746,-41.35156,174.3522,0.511677972,0.479419607,-41.34927636,174.3853965,40077.75918,-41.36632546,174.3269853,40077.75918,-41.33583754,174.3784824,45042.59746,-41.35288301,174.3200812,45042.59746
1663782,2001-01-02T05:34:43.250000Z,-39.07662,176.84891,4.479,domain,210.361996,76.993507,-134,2.6886976,2.481203117,37.5176807,39.93522747,-39.07662,176.84891,0.53957043,0.53770182,-39.06635123,176.8598172,37517.6807,-39.0877281,176.845277,37517.6807,-39.06399754,176.854122,39935.22747,-39.08537376,176.8395804,39935.22747
1695950,2001-02-22T08:04:14.897000Z,-39.62003,176.80495,4.297,domain,220.366677,90,45,1.844693957,2.141266764,21.5269372,23.66820396,-39.62003,176.80495,0.501973103,0.47507523,-39.61345816,176.8115736,21526.9372,-39.62654986,176.7983773,21526.9372,-39.61345816,176.8115736,23668.20396,-39.62654986,176.7983773,23668.20396
1709407,2001-03-24T23:34:48.562000Z,-42.57527,173.07416,4.85,domain,67.448146,68.314215,147,3.40296294,3.969044408,26.58187295,30.27000537,-42.57527,173.07416,0.521409995,0.512027995,-42.57516538,173.0506833,26581.87295,-42.56338861,173.0889612,26581.87295,-42.58736023,173.0575484,30270.00537,-42.57558118,173.0958324,30270.00537
1717065,2001-04-09T12:35:03.763000Z,-40.75357,174.30705,4.288,domain,40.437352,63.408022,125,1.651006304,2.192252785,62.16956701,64.12991654,-40.75357,174.30705,0.500481831,0.405556754,-40.75702137,174.29718,62169.56701,-40.74556076,174.3096412,62169.56701,-40.76265412,174.3061385,64129.91654,-40.75119256,174.3185991,64129.91654
1737299,2001-05-24T18:07:57.881000Z,-38.74718,175.19708,5.4,domain,209.807248,59.6891,-127,5.482384108,6.153258016,235.3781227,240.6902276,-38.74718,175.19708,0.540619228,0.470637783,-38.72996662,175.2280878,235378.1227,-38.77339776,175.198072,235378.1227,-38.71665201,175.1966835,240690.2276,-38.76007556,175.1666535,240690.2276
1747665,2001-06-18T20:57:27.920000Z,-38.23727,176.22435,4.303,domain,46.086238,52.478448,-94,1.979897973,2.54441841,159.9211916,161.9392317,-38.23727,176.22435,0.455852302,0.392365059,-38.23929691,176.2121954,159921.1916,-38.22649356,176.2279211,159921.1916,-38.24900575,176.2249024,161939.2317,-38.23620072,176.2406277,161939.2317
1750022,2001-06-24T20:47:02.824000Z,-42.40386,173.42166,4.698,domain,60.941406,61.330702,147,2.236012749,2.092779324,11.60073119,13.43694281,-42.40386,173.42166,0.468303666,0.593650971,-42.40380113,173.4070188,11600.73119,-42.3939337,173.4307027,11600.73119,-42.41168374,173.4129964,13436.94281,-42.40181508,173.4366823,13436.94281
1752783,2001-07-04T01:48:53.765000Z,-40.04107,175.19289,4.053,domain,22.56293,65.068026,123,0.956070691,1.008770118,14.71155197,15.6263137,-40.04107,175.19289,0.56813271,0.632238987,-40.0447584,175.1876552,14711.55197,-40.03672835,175.1916979,14711.55197,-40.04614039,175.1923024,15626.3137,-40.0381102,175.1963445,15626.3137
1762046,2001-07-22T07:20:59.990000Z,-40.96707,174.45352,4.507,domain,31.317841,51.206536,125,2.233070198,2.156672759,58.63051685,60.31144796,-40.96707,174.45352,0.526764814,0.545639939,-40.97285364,174.4388945,58630.51685,-40.95550102,174.4523091,58630.51685,-40.97900634,174.4527486,60311.44796,-40.96165216,174.4661606,60311.44796
