evid,datetime,lat,lon,depth,loc_type,loc_grid,mag,mag_type,mag_method,mag_unc,mag_orig,mag_orig_type,mag_orig_unc,ndef,nsta,nmag,t_res,reloc,tect_class,tect_method,domain_no,domain_type,strike,dip,rake,f_length,f_width,f_type,z_tor,z_bor,hyp_lat,hyp_lon,hyp_strike,hyp_dip,corner_0_lat,corner_0_lon,corner_0_depth,corner_1_lat,corner_1_lon,corner_1_depth,corner_2_lat,corner_2_lon,corner_2_depth,corner_3_lat,corner_3_lon,corner_3_depth
1536266,2000-06-23T01:42:23.120000Z,-41.58946,174.42343,20.1998,GROPE,nz1dr,4.423,ML,uncorrected,0.106,4.423,ML,0.106,26,20,11,0.14437,no,Interface,hik_kerm_fault_300km_wgs84_poslon,14,Strike-slip,251.006704,72.287289,173,2.092604775,2.218602923,domain,18.91106369,21.02449155,-41.58946,174.42343,0.45894789,0.609784859,-41.58999453,174.435944,18911.06369,-41.59642114,174.4123448,18911.06369,-41.58428031,174.433182,21024.49155,-41.59070633,174.4095846,21024.49155
1540691,2000-07-07T03:28:35.769000Z,-40.55319,173.44043,165.3765,GROPE,nz1dr,4.557,ML,uncorrected,0.2,4.557,ML,0.2,35,29,12,0.21805,no,Slab,hik_kerm_fault_300km_wgs84_poslon,13,Contractional,41.79088,64.600557,125,2.528215644,3.092625607,domain,164.2795955,167.0732862,-40.55319,173.44043,0.499593462,0.392636342,-40.55860137,173.4259361,164279.5955,-40.54154502,173.4457241,164279.5955,-40.5665214,173.4376699,167073.2862,-40.54946306,173.4574573,167073.2862
1597193,2000-08-08T10:31:19.555000Z,-39.15628,176.28032,49.9789,GROPE,nz1dr,5.3,Mw,uncorrected,,5.3,Mw,,37,32,0,0.174,no,Slab,NZSMDB,5,Strike-slip,208.767648,72.438443,-134,4.655435971,5.297839088,domain,47.65580548,52.70672993,-39.15628,176.28032,0.565043687,0.459934522,-39.13809515,176.3015732,47655.80548,-39.17553898,176.2773961,47655.80548,-39.13163216,176.2850645,52706.72993,-39.16907287,176.2608804,52706.72993
1597874,2000-08-11T08:53:11.680000Z,-38.69592,174.55956,20.7188,GROPE,nz1dr,4.242,ML,uncorrected,0.247,4.242,ML,0.247,26,22,35,0.27436,no,Crustal,,3,Extensional,214.341434,54.332509,-127,1.552344792,1.971014854,domain,19.77627778,21.37755882,-38.69592,174.55956,0.470688158,0.588605121,-38.69377344,174.570675,19776.27778,-38.7054549,174.5608599,19776.27778,-38.68807905,174.5596404,21377.55882,-38.69975962,174.5498242,21377.55882
1598374,2000-08-14T14:02:16.995000Z,-40.84069,175.25717,35.544,GROPE,nz1dr,4.644,ML,uncorrected,0.168,4.644,ML,0.168,45,40,11,0.16356,no,Interface,hik_kerm_fault_300km_wgs84_poslon,5,Strike-slip,212.96895,85.105226,-134,3.095267037,3.424891826,domain,34.02684886,37.43925039,-40.84069,175.25717,0.485406297,0.444599244,-40.82976449,175.2677877,34026.84886,-40.85353073,175.2486166,34026.84886,-40.82839011,175.2648335,37439.25039,-40.85215588,175.2456617,37439.25039
1600546,2000-08-24T09:59:51.205000Z,-44.96759,168.09236,63.4797,GROPE,nz1dr,4.175,ML,uncorrected,0.269,4.175,ML,0.269,13,9,16,0.1463,no,Undetermined,puy_slab2_dep_02.26.18,19,Contractional,193.814301,60.151171,80,1.541605935,1.788731302,domain,62.79989022,64.3513313,-44.96759,168.09236,0.5601821,0.438179568,-44.96122216,168.1003219,62799.89022,-44.97444873,168.0945246,62799.89022,-44.95884536,168.0895635,64351.3313,-44.97207129,168.0837642,64351.3313
1602528,2000-08-29T03:50:42.480000Z,-45.07028,167.5952,117.176,GROPE,nz1dr,5.29,ML,uncorrected,0.123,5.29,ML,0.123,15,9,19,0.16473,no,Slab,puy_slab2_dep_02.26.18,23,Crustal block,46.863578,51.758426,140,5.496821992,5.15473783,domain,115.1971434,119.2457155,-45.07028,167.5952,0.44414901,0.488778894,-45.0733254,167.5587319,115197.1434,-45.04205583,167.6126369,115197.1434,-45.09550594,167.5843458,119245.7155,-45.06422461,167.63826,119245.7155
1605839,2000-09-05T21:30:11.182000Z,-45.22957,167.28818,58.937,GROPE,nz1dr,4.14,ML,uncorrected,0.327,4.14,ML,0.327,15,9,16,0.18277,no,Slab,puy_slab2_dep_02.26.18,23,Crustal block,51.647511,49.850312,140,1.714198323,1.539333776,domain,58.30664944,59.48325848,-45.22957,167.28818,0.446074308,0.535734927,-45.22949294,167.2763452,58306.64944,-45.22082138,167.2943411,58306.64944,-45.23685674,167.2834504,59483.25848,-45.22818412,167.3014477,59483.25848
1606740,2000-09-07T10:29:41.676000Z,-38.82108,177.43164,30.0745,GROPE,nz1dr,4.465,ML,uncorrected,0.223,4.465,ML,0.223,28,26,13,0.16454,no,Slab,hik_kerm_fault_300km_wgs84_poslon,0,Oceanic,214.487027,88.42434,45,2.159575181,1.968131858,domain,28.89660423,30.86399191,-38.82108,177.43164,0.57504129,0.598710557,-38.81172939,177.4394605,28896.60423,-38.82825628,177.4264105,28896.60423,-38.81147359,177.4389312,30863.99191,-38.82800041,177.4258811,30863.99191
1609211,2000-09-16T18:56:21.869000Z,-44.62333,167.73262,32.1151,GROPE,nz1dr,4.49,ML,uncorrected,0.187,4.49,ML,0.187,18,10,21,0.13266,no,Undetermined,,23,Crustal block,40.315678,44.670883,140,1.777577417,1.642560695,domain,31.38884371,32.54361873,-44.62333,167.73262,0.438715983,0.62891583,-44.62378066,167.7191583,31388.84371,-44.61229881,167.7346958,31388.84371,-44.63107354,167.7297235,32543.61873,-44.61959025,167.7452612,32543.61873
1612426,2000-09-24T15:26:21.049000Z,-39.4021,175.64502,100.7464,GROPE,nz1dr,5.591,ML,uncorrected,0.236,5.591,ML,0.236,55,46,10,0.19274,no,Slab,hik_kerm_fault_300km_wgs84_poslon,4,Extensional,31.324583,56.024327,-94,7.470719256,6.508697621,domain,97.92057174,103.3180715,-39.4021,175.64502,0.546425254,0.523543936,-39.42555914,175.602359,97920.57174,-39.36709839,175.6452642,97920.57174,-39.44176729,175.6390633,103318.0715,-39.38329383,175.6819462,103318.0715
1613674,2000-09-28T08:21:49.209000Z,-38.84133,177.97327,38.6237,GROPE,nz1dr,4.293,ML,uncorrected,0.265,4.293,ML,0.265,22,18,8,0.18154,no,Slab,hik_kerm_fault_300km_wgs84_poslon,0,Oceanic,223.236942,90,45,1.771986725,1.271291335,domain,37.72039108,38.99168242,-38.84133,177.97327,0.551685213,0.710544384,-38.83460793,177.9805103,37720.39108,-38.84679227,177.9673853,37720.39108,-38.83460793,177.9805103,38991.68242,-38.84679227,177.9673853,38991.68242
1613958,2000-10-01T15:04:52.598000Z,-41.5668,174.37361,13.3932,GROPE,nz1dr,4.712,ML,uncorrected,0.269,4.712,ML,0.269,35,30,19,0.15352,no,Crustal,hik_kerm_fault_300km_wgs84_poslon,14,Strike-slip,249.439199,69.67241,173,2.301353462,2.471014911,domain,11.89596919,14.21309365,-41.5668,174.37361,0.482306961,0.646158992,-41.56778847,174.3884315,11895.96919,-41.57537561,174.362748,11895.96919,-41.5605948,174.3846622,14213.09365,-41.56818108,174.358981,14213.09365
1614155,2000-10-02T16:58:54.193000Z,-43.2015,171.05051,5,GROPE,nz1dr,4.204,ML,uncorrected,0.28,4.204,ML,0.28,16,10,17,0.158,no,Crustal,,19,Contractional,203.941634,62.015283,80,1.305525485,1.293729428,domain,4.398538514,5.540995766,-43.2015,171.05051,0.510890892,0.526463012,-43.19729891,171.0575701,4398.538514,-43.20792627,171.0507112,4398.538514,-43.19496574,171.0508157,5540.995766,-43.20559269,171.0439559,5540.995766
1614281,2000-10-03T00:15:01.108000Z,-43.18903,171.08464,5,GROPE,nz1dr,4.46,ML,uncorrected,0.264,4.46,ML,0.264,16,9,20,0.18476,no,Crustal,,19,Contractional,188.406911,57.588096,80,1.710043181,1.488491645,domain,4.20523309,5.461842425,-43.18903,171.08464,0.53263179,0.632469366,-43.1817148,171.0926495,4205.23309,-43.19688812,171.0890998,4205.23309,-43.18050274,171.082976,5461.842425,-43.19567571,171.0794239,5461.842425
